family,status,crop_codes,crop_names,model_codes,install_dirs,tested_case_count,trace_attempt_count,trace_success_count,trace_failure_count,representative_example,representative_example_path,notes
ALOHA,tested,PI,Pineapple,PIALO,PINEAPPLE,1,3,3,0,UHKN8901.PIX,C:\DSSAT48\PineApple\UHKN8901.PIX,Validated through DSSAT_omniwrapper with CWAD output. Includes crop code(s) without .ECO files: PI.
AROIDS,tested,"TN, TR","Tanier, Taro","TNARO, TRARO","TARO, Tanier",1,5,5,0,IBHK8901.TRX,C:\DSSAT48\Taro\IBHK8901.TRX,"Validated through DSSAT_omniwrapper with CWAD output using fallback PlantGro parser. Includes crop code(s) without .ECO files: TN, TR."
CANEGRO,tested,SC,Sugarcane,SCCAN,SUGARCANE,1,8,8,0,ESAL1401.SCX,C:\Users\chich\Downloads\DSSAT Files\DSSAT Files\dssat-csm-data\Sugarcane\ESAL1401.SCX,Validated through DSSAT_omniwrapper with SCCAN048 and LAIGD output.
CASUPRO,tested,SC,Sugarcane,SCCSP,SUGARCANE,1,0,0,0,ESAL1401.SCX,C:\Users\chich\Downloads\DSSAT Files\DSSAT Files\dssat-csm-data\Sugarcane\ESAL1401.SCX,Validated through DSSAT_omniwrapper with SCCSP048 and LAIGD output.
CERES,tested,"BA, BS, ML, MZ, RI, RY, SG, SW, TF, WH","Barley, Maize, Millet, Rice, Rye, Sorghum, Sugarbeet, Sweetcorn, Teff, Wheat","BSCER, CSCER, MLCER, MZCER, RICER, SGCER, SWCER, TFCER","BARLEY, Maize, PearlMillet, Rice, Rye, SUGARBEET, Sorghum, SweetCorn, Teff, Wheat",1,41,41,0,KSAS8101.WHX,C:\DSSAT48\Wheat\KSAS8101.WHX,"Validated through DSSAT_omniwrapper with GSTD output. Includes crop code(s) without .ECO files: RI, RY, TF."
CERES-IXIM,tested,MZ,Maize,MZIXM,Maize,1,0,0,0,UFGA8201.MZX,C:\Users\chich\Downloads\DSSAT Files\DSSAT Files\dssat-csm-data\Maize\UFGA8201.MZX,Validated through DSSAT_omniwrapper with MZIXM048 and CWAD output.
CROPGRO,tested,"AM, BC, BG, BH, BN, BR, CB, CH, CI, CN, CO, CP, FA, FB, FX, GB, GY, HM, LT, NP, PE, PN, PP, PR, QU, SB, SF, SR, SU, TM, VB","Amaranth, Bahia, Bambara groundnut, Bellpepper, Brachiaria, Cabbage, Canola, Carinata, Chia, Chickpea, Cotton, Cowpea, Dry bean, Faba bean, Fallow, Flax, Green bean, Guar, Hemp, Lentil, Napier grass, Pea, Peanut, Pigeonpea, Quinoa, Safflower, Soybean, Strawberry, Sunflower, Tomato, Velvetbean",CRGRO,"Amaranth, BAHIA, BRACHIARIA, BambaraGroundnut, BellPepper, CABBAGE, CANOLA, CHICKPEA, COWPEA, Carinata, Chia, DRYBEAN, FABABEAN, FALLOW, Flax, GREENBEAN, Guar, Hemp, Lentil, Napier, PEA, PIGEONPEA, Peanut, Quinoa, SAFFLOWER, SUNFLOWER, Soybean, Strawberry, TOMATO, VELVETBEAN, cotton",2,139,139,0,"CLMO8501.SBX, UFDSS0301.HMX","C:\DSSAT48\Hemp\UFDSS0301.HMX, C:\DSSAT48\Soybean\CLMO8501.SBX","Validated through DSSAT_omniwrapper with CWAD output. Validated through DSSAT_omniwrapper with CWAD output. Includes crop code(s) without .ECO files: FA, FX, NP, PE."
CROPSIM,tested,"BA, WH","Barley, Wheat",CSCRP,"BARLEY, Wheat",1,0,0,0,IEBR8201.BAX,C:\Users\chich\Downloads\DSSAT Files\DSSAT Files\dssat-csm-data\Barley\IEBR8201.BAX,Validated through DSSAT_omniwrapper with CSCRP048 and GSTD output.
CSCAS,blocked_model_data,CS,Cassava,CSCAS,CASSAVA,0,0,0,0,CCPA7801.CSX,C:\Users\chich\Downloads\DSSAT Files\DSSAT Files\dssat-csm-data\Cassava\CCPA7801.CSX,"Wrapper launch reaches CSCAS048, but the model exits with 'Missing ecotype coefficients. Fix ecotype input file. Error key: IPECO'."
CSYCA,tested,CS,Cassava,CSYCA,CASSAVA,1,4,4,0,CCPA7801.CSX,C:\DSSAT48\Cassava\CCPA7801.CSX,Validated through DSSAT_omniwrapper with CWAD output.
FORAGE,trace_failures,"AL, BH, BM, BR, GG, PO","Alfalfa, Bahiagrass, Bermudagrass, Brachiaria, Guinea grass, Perennial peanut",PRFRM,"ALFALFA, BAHIA, BRACHIARIA, Bermudagrass, GUINEAGRASS, PERENNIALPEANUT",0,13,0,13,"AGZG1219.ALX, AGZG1229.ALX, AGZG1501.ALX","C:\Users\chich\Downloads\DSSAT Files\DSSAT Files\example_traces\Alfalfa\AGZG1219\AGZG1219.ALX, C:\Users\chich\Downloads\DSSAT Files\DSSAT Files\example_traces\Alfalfa\AGZG1229\AGZG1229.ALX, C:\Users\chich\Downloads\DSSAT Files\DSSAT Files\example_traces\Alfalfa\AGZG1501\AGZG1501.ALX",Installed DSSAT examples were traced but currently fail before omniwrapper validation. Includes crop code(s) without .ECO files: PO. Current installed example failures are concentrated here and are linked to extra mowing inputs such as .MOW files.
